Year,GDP value,Country Name,Country Code,Indicator Name,Incator Code
1961,5.98734641929049,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1962,4.48285862746644,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1963,8.68883151825308,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1964,7.56975744905716,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1965,10.4193658220132,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1966,5.78995180143451,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1967,5.40061259720805,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1968,7.23322092500229,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1969,5.50789963428733,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1970,11.3534617181885,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1971,0.468372548504135,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1972,0.813406404583475,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1973,7.06426385694037,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1974,3.54019171279734,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1975,4.21141563147387,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1976,5.15618958985213,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1977,3.94769828741471,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1978,8.04853361937383,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1979,3.75843556853255,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1980,10.2157040372709,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1981,7.92076357199755,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1982,6.53748679998544,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1983,6.77837833870643,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1984,5.06520560475869,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1985,7.59211469875606,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1986,5.50165366386091,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1987,6.45234302467648,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1988,7.62527877959074,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1989,4.95976889440858,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1990,4.4585868150981,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1991,5.06156775463454,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1992,7.70589782250018,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1993,1.75774769828234,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1994,3.73741555346542,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1995,4.96260914865512,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1996,4.84658128425993,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1997,1.01439601361552,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1998,2.55023429562591,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
1999,3.66013274339694,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2000,4.2600880114509,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2001,3.55441821600166,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2002,2.50833772413712,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2003,5.77703399201583,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2004,7.54686001537084,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2005,6.51877807388874,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2006,5.89898444129835,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2007,4.83281727717085,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2008,1.7014054654513,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2009,2.83165851919991,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2010,1.60668862905307,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2011,2.7484059174005,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2012,3.50703342009689,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2013,4.39645663349772,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2014,4.67470798143725,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2015,4.73114747532901,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2016,5.52673584474448,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2017,5.55427743729406,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2018,5.83641749754401,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2019,0.98882943984708,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
2020,0.525527438790377,Pakistan,PAK,GDP growth(annual %),NY.GDP.MKTP.KD.ZG
